,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
0,16,2,2,1,124.67527332608171,3.870117664337158,1,0,"0     0.195600
1     0.215638
2     0.192739
3     0.193420
4     0.201917
        ...   
95    0.137410
96    0.142558
97    0.135181
98    0.139006
99    0.133497
Length: 100, dtype: float64","0     0.296364
1     0.295076
2     0.293820
3     0.292572
4     0.291323
        ...   
95    0.201072
96    0.200280
97    0.199488
98    0.198701
99    0.197912
Length: 100, dtype: float64",[0.00822467 0.00828786 0.00787388 ... 0.00828955 0.00829068 0.00829171],[0.00505358 0.00491371 0.00476866 ... 0.00291869 0.00289867 0.00287858]
1,16,2,2,1,191.39380204646454,2.807060718536377,1,20,"0     0.127586
1     0.122617
2     0.119980
3     0.117540
4     0.117445
        ...   
95    0.087759
96    0.079788
97    0.081270
98    0.089601
99    0.090993
Length: 100, dtype: float64","0     0.201081
1     0.200274
2     0.199468
3     0.198661
4     0.197868
        ...   
95    0.132388
96    0.131681
97    0.130971
98    0.130257
99    0.129547
Length: 100, dtype: float64",[0.01409496 0.01421063 0.01436313 ... 0.01327513 0.01326887 0.01326273],[0.00658591 0.00650561 0.00641544 ... 0.00329266 0.00326757 0.00324147]
2,16,2,2,1,219.5635675366075,2.8999123573303223,1,40,"0     0.083457
1     0.082501
2     0.085441
3     0.086760
4     0.081016
        ...   
95    0.055732
96    0.060974
97    0.046965
98    0.070222
99    0.058278
Length: 100, dtype: float64","0     0.127317
1     0.126629
2     0.125933
3     0.125246
4     0.124556
        ...   
95    0.071826
96    0.071372
97    0.070920
98    0.070477
99    0.070032
Length: 100, dtype: float64",[0.01742589 0.0174343  0.01744196 ... 0.01282629 0.01282398 0.0128216 ],[0.00661564 0.00661381 0.00660174 ... 0.00268788 0.0026522  0.00261511]
3,16,2,2,1,144.13580432124246,2.7748188972473145,1,60,"0     0.046763
1     0.041965
2     0.041659
3     0.038336
4     0.047995
        ...   
95    0.031940
96    0.038783
97    0.030147
98    0.029099
99    0.029524
Length: 100, dtype: float64","0     0.071903
1     0.071508
2     0.071158
3     0.070827
4     0.070506
        ...   
95    0.056726
96    0.056630
97    0.056545
98    0.056461
99    0.056378
Length: 100, dtype: float64",[0.02582335 0.02583281 0.0258444  ... 0.01518562 0.01518214 0.01517858],[0.0104877  0.01058236 0.0106685  ... 0.00382184 0.00374662 0.003674  ]
4,16,2,2,1,35.200582893187914,2.8012475967407227,1,80,"0     0.060313
1     0.068226
2     0.072999
3     0.065066
4     0.068035
        ...   
95    0.042157
96    0.041526
97    0.033188
98    0.035511
99    0.052551
Length: 100, dtype: float64","0     0.129418
1     0.129230
2     0.128947
3     0.128588
4     0.128157
        ...   
95    0.101580
96    0.101494
97    0.101399
98    0.101288
99    0.101185
Length: 100, dtype: float64",[0.4653618  0.46469602 0.46418878 ... 0.44456023 0.44360194 0.44261676],[0.24851463 0.24901375 0.24961587 ... 0.32819564 0.32872402 0.32932484]
5,16,2,2,1,157.09556760090504,2.7357420921325684,1,100,"0     0.050268
1     0.050120
2     0.038714
3     0.051798
4     0.052908
        ...   
89    0.030519
90    0.031785
91    0.041456
92    0.036476
93    0.026246
Length: 94, dtype: float64","0     0.019366
1     0.019338
2     0.019257
3     0.019137
4     0.018985
        ...   
89    0.009032
90    0.009033
91    0.009035
92    0.009036
93    0.009041
Length: 94, dtype: float64",[0.03595002 0.03632508 0.03655385 ... 0.01672455 0.01672402 0.01672352],[0.00869679 0.00870096 0.00870964 ... 0.00377152 0.00376745 0.00376329]
6,16,2,2,1,57.949576726304464,2.1726441383361816,1,120,"0     0.039164
1     0.035824
2     0.032751
3     0.037449
4     0.033315
5     0.031323
6     0.040540
7     0.044332
8     0.044929
9     0.040443
10    0.039709
11    0.028727
12    0.025624
13    0.025785
14    0.039118
15    0.030758
16    0.041081
17    0.019774
18    0.037297
19    0.040422
20    0.049555
21    0.031359
22    0.039310
23    0.032861
24    0.034237
25    0.027178
26    0.041662
27    0.031636
28    0.032049
29    0.029303
30    0.031257
31    0.033484
32    0.034384
33    0.034233
34    0.034571
35    0.027370
36    0.030965
37    0.029869
38    0.038294
39    0.030626
40    0.035123
41    0.034669
42    0.030270
43    0.035930
44    0.024244
45    0.022505
46    0.029641
47    0.028516
dtype: float64","0     0.010033
1     0.009990
2     0.009947
3     0.009908
4     0.009866
5     0.009824
6     0.009786
7     0.009755
8     0.009720
9     0.009687
10    0.009653
11    0.009620
12    0.009590
13    0.009555
14    0.009520
15    0.009487
16    0.009452
17    0.009420
18    0.009390
19    0.009353
20    0.009321
21    0.009285
22    0.009247
23    0.009203
24    0.009166
25    0.009130
26    0.009102
27    0.009076
28    0.009046
29    0.009020
30    0.008999
31    0.008976
32    0.008951
33    0.008924
34    0.008896
35    0.008867
36    0.008833
37    0.008803
38    0.008777
39    0.008750
40    0.008718
41    0.008686
42    0.008648
43    0.008620
44    0.008591
45    0.008564
46    0.008538
47    0.008512
dtype: float64",[0.02372933 0.02377204 0.02381772 ... 0.01608554 0.01608335 0.01608116],[0.00101518 0.00113173 0.00125478 ... 0.01018273 0.01017015 0.01015769]
7,16,2,2,1,41.429420608979356,2.635673999786377,1,140,"0     0.030524
1     0.021965
2     0.024896
3     0.027155
4     0.023553
        ...   
83    0.022885
84    0.018155
85    0.015625
86    0.026234
87    0.022336
Length: 88, dtype: float64","0     0.020020
1     0.019978
2     0.019941
3     0.019916
4     0.019902
        ...   
83    0.019559
84    0.019547
85    0.019536
86    0.019518
87    0.019510
Length: 88, dtype: float64",[0.0435532  0.04359656 0.04363542 ... 0.01933051 0.01932478 0.01931905],[0.02529405 0.02526712 0.02522768 ... 0.02939897 0.02935723 0.02931602]
8,16,2,2,1,50.844698329062965,2.14506196975708,1,160,"0     0.028965
1     0.032565
2     0.026518
3     0.030456
4     0.028382
5     0.019681
6     0.030684
7     0.028992
8     0.039445
9     0.039307
10    0.026596
11    0.038476
12    0.027518
13    0.034240
14    0.016391
15    0.027280
16    0.025282
17    0.024076
18    0.025014
19    0.023123
20    0.022714
21    0.030036
22    0.019975
23    0.018425
24    0.030650
25    0.024786
26    0.029164
27    0.027564
28    0.021223
29    0.040264
30    0.024863
31    0.029912
32    0.032384
33    0.028810
34    0.027419
35    0.023035
36    0.034469
37    0.020927
38    0.023295
39    0.018352
40    0.030168
41    0.029304
42    0.030761
43    0.025604
44    0.029028
dtype: float64","0     0.046475
1     0.046446
2     0.046412
3     0.046392
4     0.046364
5     0.046342
6     0.046331
7     0.046307
8     0.046267
9     0.046264
10    0.046251
11    0.046243
12    0.046207
13    0.046160
14    0.046097
15    0.046031
16    0.045954
17    0.045887
18    0.045837
19    0.045774
20    0.045725
21    0.045708
22    0.045681
23    0.045664
24    0.045665
25    0.045639
26    0.045616
27    0.045597
28    0.045564
29    0.045528
30    0.045477
31    0.045424
32    0.045370
33    0.045313
34    0.045279
35    0.045264
36    0.045283
37    0.045309
38    0.045319
39    0.045299
40    0.045263
41    0.045232
42    0.045254
43    0.045311
44    0.045377
dtype: float64",[0.04088888 0.04121624 0.04153651 ... 0.02822452 0.02810075 0.02797773],[0.02859081 0.02893378 0.02924999 ... 0.05623759 0.05608587 0.05593514]
9,16,2,2,1,47.984507315942174,2.3573315143585205,1,180,"0     0.033994
1     0.026414
2     0.030614
3     0.032777
4     0.028616
        ...   
58    0.035128
59    0.022999
60    0.038879
61    0.040556
62    0.024933
Length: 63, dtype: float64","0     0.135107
1     0.135105
2     0.135039
3     0.134904
4     0.134777
        ...   
58    0.120299
59    0.120049
60    0.119816
61    0.119544
62    0.119274
Length: 63, dtype: float64",[0.0354704  0.03621183 0.03535322 ... 0.06501167 0.06482137 0.06462881],[0.00958685 0.01002634 0.0104706  ... 0.10414646 0.10392795 0.10371025]
10,16,2,2,1,36.712573984325196,2.5427660942077637,1,200,"0     0.029718
1     0.018635
2     0.026742
3     0.026301
4     0.022723
        ...   
75    0.025241
76    0.029761
77    0.024212
78    0.025355
79    0.029246
Length: 80, dtype: float64","0     0.055339
1     0.055215
2     0.055086
3     0.054952
4     0.054832
        ...   
75    0.046273
76    0.046280
77    0.046277
78    0.046279
79    0.046269
Length: 80, dtype: float64",[0.05642565 0.05615918 0.05591133 ... 0.09706823 0.09697264 0.09687632],[0.0161644  0.01598695 0.01582512 ... 0.14433559 0.14416557 0.14399484]
11,16,2,2,1,35.35054841536998,2.3232924938201904,1,220,"0     0.029955
1     0.023730
2     0.026359
3     0.025895
4     0.016935
5     0.020916
6     0.031136
7     0.021538
8     0.021838
9     0.025138
10    0.018400
11    0.019684
12    0.030330
13    0.024449
14    0.018067
15    0.023526
16    0.032668
17    0.017674
18    0.017797
19    0.024184
20    0.031298
21    0.023566
22    0.021080
23    0.020498
24    0.025185
25    0.025417
26    0.015691
27    0.012188
28    0.020689
29    0.019295
30    0.015559
31    0.026760
32    0.034305
33    0.023963
34    0.018247
35    0.021579
36    0.032711
37    0.026950
38    0.018312
39    0.018077
40    0.016235
41    0.013960
42    0.023832
43    0.023305
44    0.017855
45    0.017318
46    0.024107
47    0.024968
48    0.023959
49    0.023173
50    0.021433
51    0.021153
52    0.027887
53    0.027109
54    0.026295
55    0.029936
56    0.025707
57    0.021371
dtype: float64","0     0.033432
1     0.033424
2     0.033415
3     0.033397
4     0.033369
5     0.033337
6     0.033308
7     0.033294
8     0.033269
9     0.033258
10    0.033239
11    0.033220
12    0.033219
13    0.033219
14    0.033213
15    0.033214
16    0.033239
17    0.033250
18    0.033267
19    0.033287
20    0.033294
21    0.033287
22    0.033260
23    0.033217
24    0.033179
25    0.033143
26    0.033103
27    0.033040
28    0.032967
29    0.032927
30    0.032883
31    0.032830
32    0.032778
33    0.032719
34    0.032683
35    0.032667
36    0.032642
37    0.032616
38    0.032599
39    0.032585
40    0.032580
41    0.032571
42    0.032562
43    0.032574
44    0.032585
45    0.032583
46    0.032596
47    0.032603
48    0.032600
49    0.032605
50    0.032604
51    0.032598
52    0.032602
53    0.032631
54    0.032643
55    0.032659
56    0.032671
57    0.032692
dtype: float64",[0.04727847 0.04750128 0.04772557 ... 0.11374964 0.11370911 0.11366823],[0.02947149 0.02980547 0.03013812 ... 0.17697042 0.17692778 0.17688738]
12,16,2,2,1,36.196719033809735,2.4289751052856445,1,240,"0     0.016470
1     0.022849
2     0.020164
3     0.033740
4     0.021078
        ...   
66    0.018929
67    0.016333
68    0.015280
69    0.015769
70    0.020353
Length: 71, dtype: float64","0     0.043366
1     0.043344
2     0.043323
3     0.043295
4     0.043268
        ...   
66    0.041754
67    0.041724
68    0.041703
69    0.041683
70    0.041673
Length: 71, dtype: float64",[0.06021369 0.06051441 0.06082132 ... 0.11585698 0.11798751 0.12105692],[0.04561496 0.04617485 0.04674202 ... 0.18114085 0.18127434 0.18140422]
13,16,2,2,1,42.70079434762567,2.2506279945373535,1,260,"0     0.022188
1     0.025153
2     0.025309
3     0.020514
4     0.020509
5     0.018678
6     0.015800
7     0.016669
8     0.019655
9     0.024344
10    0.023279
11    0.020210
12    0.012439
13    0.027224
14    0.026618
15    0.017003
16    0.021150
17    0.018463
18    0.019344
19    0.031861
20    0.020277
21    0.016781
22    0.022500
23    0.022800
24    0.019636
25    0.016205
26    0.023536
27    0.018773
28    0.021408
29    0.026059
30    0.021972
31    0.025407
32    0.012529
33    0.016906
34    0.029347
35    0.023048
36    0.017376
37    0.024702
38    0.028650
39    0.022658
40    0.019600
41    0.014786
42    0.014455
dtype: float64","0     0.029948
1     0.029942
2     0.029946
3     0.029950
4     0.029940
5     0.029929
6     0.029919
7     0.029905
8     0.029895
9     0.029883
10    0.029860
11    0.029838
12    0.029813
13    0.029794
14    0.029775
15    0.029770
16    0.029763
17    0.029757
18    0.029755
19    0.029748
20    0.029738
21    0.029724
22    0.029706
23    0.029690
24    0.029673
25    0.029655
26    0.029632
27    0.029620
28    0.029608
29    0.029599
30    0.029586
31    0.029569
32    0.029558
33    0.029558
34    0.029553
35    0.029550
36    0.029546
37    0.029534
38    0.029518
39    0.029506
40    0.029494
41    0.029482
42    0.029470
dtype: float64",[0.074967   0.07517182 0.07536557 ... 0.0871621  0.08719724 0.08723142],[0.06456934 0.06466025 0.06472665 ... 0.15717898 0.15742546 0.15767121]
14,16,2,2,1,52.98925673693955,2.3169445991516113,1,280,"0     0.020504
1     0.016237
2     0.013779
3     0.021615
4     0.008289
5     0.014993
6     0.015003
7     0.024062
8     0.013378
9     0.017881
10    0.019623
11    0.015338
12    0.013545
13    0.016418
14    0.020978
15    0.012595
16    0.013120
17    0.024224
18    0.025489
19    0.020103
20    0.030734
21    0.011915
22    0.018717
23    0.010568
24    0.023077
25    0.012114
26    0.012596
27    0.012551
28    0.025755
29    0.007705
30    0.013481
31    0.014269
32    0.011063
33    0.012650
34    0.027312
35    0.020877
36    0.025652
37    0.016385
38    0.016058
39    0.016636
40    0.017202
41    0.017533
42    0.013999
43    0.021441
44    0.019878
45    0.014294
46    0.010584
47    0.015132
48    0.015306
49    0.015294
50    0.015523
51    0.018646
52    0.016750
53    0.017977
54    0.013280
55    0.017184
56    0.020659
57    0.019057
58    0.010075
59    0.012906
dtype: float64","0     0.042593
1     0.042497
2     0.042394
3     0.042283
4     0.042184
5     0.042097
6     0.042021
7     0.041953
8     0.041879
9     0.041800
10    0.041732
11    0.041665
12    0.041600
13    0.041541
14    0.041510
15    0.041474
16    0.041439
17    0.041391
18    0.041339
19    0.041287
20    0.041205
21    0.041125
22    0.041057
23    0.041004
24    0.040963
25    0.040922
26    0.040887
27    0.040845
28    0.040801
29    0.040758
30    0.040716
31    0.040676
32    0.040636
33    0.040601
34    0.040555
35    0.040496
36    0.040452
37    0.040400
38    0.040352
39    0.040313
40    0.040292
41    0.040273
42    0.040240
43    0.040200
44    0.040159
45    0.040108
46    0.040048
47    0.039998
48    0.039943
49    0.039882
50    0.039826
51    0.039780
52    0.039758
53    0.039737
54    0.039719
55    0.039690
56    0.039675
57    0.039656
58    0.039641
59    0.039639
dtype: float64",[0.08245192 0.08221991 0.08198585 ... 0.06995613 0.07008395 0.07021084],[0.04967561 0.04918997 0.04869852 ... 0.10729694 0.10767973 0.1080609 ]
15,16,2,2,1,66.27187529855439,2.195998191833496,1,300,"0     0.019098
1     0.016402
2     0.023553
3     0.019150
4     0.021846
5     0.016591
6     0.022078
7     0.017861
8     0.016485
9     0.014184
10    0.009456
11    0.019365
12    0.017747
13    0.023086
14    0.016474
15    0.017560
16    0.020745
17    0.022398
18    0.028617
19    0.009221
20    0.023353
21    0.015818
22    0.015214
23    0.017857
24    0.017351
25    0.010402
26    0.019718
27    0.018326
28    0.016532
29    0.017849
30    0.018871
31    0.020701
32    0.016750
33    0.013089
34    0.017169
35    0.016369
36    0.011148
37    0.014691
38    0.018890
39    0.021144
40    0.016199
41    0.021355
42    0.025917
43    0.014743
44    0.020800
45    0.013702
46    0.016518
47    0.013533
48    0.012249
49    0.013834
dtype: float64","0     0.036306
1     0.036286
2     0.036272
3     0.036236
4     0.036184
5     0.036148
6     0.036104
7     0.036052
8     0.035999
9     0.035961
10    0.035914
11    0.035865
12    0.035805
13    0.035729
14    0.035635
15    0.035524
16    0.035418
17    0.035342
18    0.035258
19    0.035177
20    0.035096
21    0.035003
22    0.034909
23    0.034821
24    0.034742
25    0.034664
26    0.034577
27    0.034490
28    0.034386
29    0.034271
30    0.034160
31    0.034059
32    0.033938
33    0.033826
34    0.033716
35    0.033600
36    0.033500
37    0.033397
38    0.033276
39    0.033167
40    0.033060
41    0.032948
42    0.032829
43    0.032746
44    0.032702
45    0.032648
46    0.032582
47    0.032506
48    0.032411
49    0.032313
dtype: float64",[0.06737558 0.06684426 0.06629431 ... 0.02999708 0.03017741 0.03036251],[0.03402855 0.03368049 0.03333083 ... 0.0525252  0.05286673 0.05321338]
16,16,2,2,1,78.4074616748006,2.4017975330352783,1,320,"0     0.015714
1     0.016276
2     0.015881
3     0.023294
4     0.017153
        ...   
63    0.022261
64    0.012010
65    0.020738
66    0.021218
67    0.015420
Length: 68, dtype: float64","0     0.029871
1     0.029787
2     0.029686
3     0.029589
4     0.029481
        ...   
63    0.025118
64    0.025100
65    0.025071
66    0.025025
67    0.024992
Length: 68, dtype: float64",[0.05337574 0.05264124 0.05188839 ... 0.01355648 0.01353343 0.01351013],[0.02335519 0.02289964 0.02243718 ... 0.05153412 0.05130762 0.05107989]
17,16,2,2,1,74.95768496134211,2.4658446311950684,1,340,"0     0.019861
1     0.015709
2     0.014034
3     0.017409
4     0.015503
5     0.015310
6     0.020886
7     0.013018
8     0.015065
9     0.024710
10    0.016341
11    0.018410
12    0.013263
13    0.024499
14    0.015364
15    0.013651
16    0.016542
17    0.009999
18    0.021887
19    0.021948
20    0.016450
21    0.007873
22    0.016581
23    0.026582
24    0.013211
25    0.021772
26    0.018435
27    0.017078
28    0.009796
29    0.017669
30    0.021145
31    0.012240
32    0.014803
33    0.028868
34    0.014625
35    0.021540
36    0.014810
37    0.015558
38    0.027677
39    0.016292
40    0.008888
41    0.014962
42    0.018870
43    0.012190
44    0.023114
45    0.010428
46    0.011138
47    0.015685
48    0.011382
49    0.018689
50    0.013563
51    0.014378
dtype: float64","0     0.034594
1     0.034545
2     0.034484
3     0.034424
4     0.034378
5     0.034320
6     0.034256
7     0.034176
8     0.034104
9     0.034043
10    0.033985
11    0.033928
12    0.033854
13    0.033762
14    0.033693
15    0.033655
16    0.033651
17    0.033644
18    0.033613
19    0.033555
20    0.033507
21    0.033475
22    0.033419
23    0.033353
24    0.033310
25    0.033254
26    0.033206
27    0.033131
28    0.033053
29    0.032972
30    0.032863
31    0.032757
32    0.032665
33    0.032545
34    0.032437
35    0.032340
36    0.032257
37    0.032180
38    0.032113
39    0.032046
40    0.031984
41    0.031903
42    0.031855
43    0.031831
44    0.031782
45    0.031753
46    0.031739
47    0.031713
48    0.031675
49    0.031646
50    0.031601
51    0.031563
dtype: float64",[0.03861905 0.03757418 0.03652155 ... 0.02621208 0.02643271 0.02665577],[0.011329   0.01082197 0.01031584 ... 0.04973472 0.05000266 0.0502651 ]
18,16,2,2,1,81.34789120996625,2.6493868827819824,1,360,"0     0.017549
1     0.012415
2     0.019939
3     0.024850
4     0.028062
        ...   
85    0.009444
86    0.017764
87    0.015287
88    0.014259
89    0.014083
Length: 90, dtype: float64","0     0.036746
1     0.036688
2     0.036623
3     0.036540
4     0.036454
        ...   
85    0.034000
86    0.034011
87    0.034035
88    0.034058
89    0.034068
Length: 90, dtype: float64",[0.01779702 0.01837276 0.03072688 ... 0.01112049 0.01111377 0.01110731],[0.00242391 0.00270351 0.00299603 ... 0.02569019 0.02556047 0.0254465 ]
19,16,2,2,1,68.8342702544924,2.0284247398376465,1,380,"0     0.018344
1     0.017115
2     0.014423
3     0.011666
4     0.018080
5     0.016068
6     0.009148
7     0.020251
8     0.017529
9     0.024968
10    0.012625
11    0.015811
12    0.027262
13    0.022251
14    0.019955
15    0.013140
16    0.014063
17    0.011609
18    0.019205
19    0.016326
20    0.012366
21    0.010849
22    0.015769
23    0.012958
24    0.010280
25    0.016604
26    0.023136
27    0.014799
28    0.014247
29    0.013053
30    0.016259
31    0.016097
32    0.011325
33    0.013842
34    0.013731
35    0.022758
36    0.016041
dtype: float64","0     0.025726
1     0.025711
2     0.025692
3     0.025665
4     0.025644
5     0.025624
6     0.025611
7     0.025581
8     0.025547
9     0.025510
10    0.025473
11    0.025424
12    0.025359
13    0.025315
14    0.025274
15    0.025229
16    0.025188
17    0.025146
18    0.025109
19    0.025078
20    0.025054
21    0.025040
22    0.025032
23    0.025022
24    0.025004
25    0.025002
26    0.025001
27    0.024999
28    0.024999
29    0.024995
30    0.024992
31    0.024988
32    0.024997
33    0.024989
34    0.024970
35    0.024946
36    0.024923
dtype: float64",[0.03917954 0.03925836 0.0393372  ... 0.01260235 0.0125975  0.01259084],[0.00929625 0.00940167 0.00949843 ... 0.05189148 0.05165898 0.05142026]
